2/13/2019	GS	0.76	0.7	0.93	198.4	195	P	342	3080	0.191	0.069	0.237	0.041	0.53	2	11:28/11:28	1.59/.39	25	15
2/13/2019	EA	2.36	0.87	1.12	103.3	99	P	296	1540	0.184	0.053	0.297	0.021	0.66	2	10:04/10:06	1.37/.41	56	15
2/13/2019	CRM	1.18	0.95	0.95	162.35	160	P	276	795	0.267	0.085	0.285	0.044	0.74	2	11:34/11:44	1.22/.49	38	15
2/13/2019	AAPL	0.46	0.29	0.24	171.68	167.5	P	1670	16400	0.075	0.048	0.095	0.021	0.22	2	11:18/11:30	.42/.18	28	15
2/14/2019	CSCO	2.9	0.66	0.69	49.38	49	P	322	137	0.393	0.232	0.038	0.028	0.51	8	10:59/11:03	.97/.54	22	16
2/14/2019	SPY	-0.44	0.52	0.61	273.53	275.5	C	2180	5290	0.227	0.122	0.303	0.051	0.38	1	10:15/10:31	.88/.28	28	16
2/14/2019	WMT	-0.41	0.6	0.48	98.17	104	C	2	482	0.157	0.044	0.081	0.033	0.48	8	10:34	.62/.40	69	16
2/14/2019	FB	-0.51	0.62	0.79	163.23	165	C	4430	12300	0.244	0.125	0.326	0.03	0.46	1	12:16/12:19	.85/.33	30	16
2/25/2019	TWTR	0.91	0.49	0.49	32.67	32	P	536	5660	0.318	0.232	0.064	0.012	0.37	4	11:54/12:00	.70/.35	14	13
2/25/2019	BABA	2.41	0.9	0.51	183.27	177.5	P	465	323	0.178	0.04	0.198	0.052	0.73	4	10:02	1.07/.48	8	13
2/26/2019	CRM	-0.3	0.62	0.88	161.24	165	C	168	1920	0.195	0.065	0.182	0.041	0.53	3	10:21/10:22	.89/.39	48	14
2/26/2019	HD	-2.49	1.12	1.5	185	187.5	C	570	962	0.291	0.08	0.233	0.062	0.88	3	10:15/10:15	2.05/.36	17	14
2/26/2019	DIS	0.02	0.3	0.12	113.37	112	P	46	7210	0.201	0.166	0.073	0.032	0.23	3	10:56/11:04	.34/.08	12	14
2/27/2019	BABA	-1.03	0.51	0.75	174.65	177.5	P	271	1560	0.122	0.042	0.217	0.031	0.38	3	10:10/10:10	.76/.16	12	15
2/28/2019	SQ	-4.32	0.83	1.11	77.36	78	C	None	None	None	None	None	None	0.65	2	11:08/11:10	None	18	15
2/28/2019	ROKU	0.69	0.56	0.24	65.53	64.5	P	None	None	None	None	None	None	0.46	2	10:27/10:27	None	22	15
2/28/2019	NVDA	-0.34	0.5	0.25	154.5	150	P	None	None	None	None	None	None	0.4	2	10:02/10:05	.67/.20	30	15
2/28/2019	GS	-0.06	0.57	0.54	197	195	P	None	None	None	None	None	None	0.47	2	11:06	None	27	15
2/28/2019	HD	-0.01	0.52	0.19	183.29	182.5	P	None	None	None	None	None	None	0.4	2	10:07/10:07	None	18	15
3/4/2019	XLE	0.43	0.37	0.58	66.68	66	P	59	310	0.293	0.264	0.052	0.025	0.29	4	11:07/11:10	.73/.27	16	14
3/4/2019	XBI	1.27	0.42	0.63	92.49	90	P	39	219	0.162	0.093	0.075	0.026	0.32	4	09:55/10:11	1.48/.26	24	13
3/4/2019	MCD	-0.25	0.76	1.1	182.41	180	P	92	461	0.228	0.09	0.117	0.061	0.59	4	10:22/10:47	1.75/.27	30	14
3/4/2019	AAPL	0.63	0.57	0.25	176.94	180	C	18900	22800	0.202	0.08	0.121	0.052	0.46	4	10:24	.70/.16	21	13
3/6/2019	GS	-0.06	0.67	0.62	195.82	192.5	P	98	972	0.192	0.071	0.236	0.04	0.51	2	11:50/11:52	.76/.34	28	15
3/11/2019	BA	-11.7	1.35	1.91	377.4	410	C	325	1510	0.007	0.002	0.031	0.009	1.08	4	9:55/9:58	4.52/.09	47	15
3/11/2019	FB	1.2	0.5	0.55	173.85	167.5	P	1300	3050	0.127	0.036	0.141	0.04	0.42	4	11:09	.89/.38	18	15
3/12/2019	ROKU	-1.65	0.65	0.93	73.41	75	C	419	1930	0.202	0.07	0.176	0.018	0.52	3	9:50/9:51	.92/.22	16	14
3/12/2019	TSLA	-1.4	0.54	0.37	285.08	312.5	C	85	857	0.059	0.007	0.302	0.037	0.54	3	9:53	.81/.31	29	14
3/12/2019	NVDA	0.94	0.65	0.92	166.68	172.5	C	761	1300	0.15	0.043	0.283	0.029	0.52	2	10:08/10:10	1.36/.20	26	13
3/12/2019	GS	0.54	0.42	0.6	198.75	195	P	676	9110	0.147	0.063	0.187	0.036	0.35	2	10:59/12:33	.69/.28	26	13
3/12/2019	TSLA	0.07	0.86	0.65	287	305	C	108	8740	0.084	0.012	0.431	0.04	0.67	2	11:32/11:45	1.10/.50	27	13
3/12/2019	AAPL	0.87	0.65	0.36	182.15	180	P	4240	16500	0.238	0.099	0.213	0.044	0.52	2	9:58/10:11	.91/.30	14	13
3/18/2019	FB	-1.45	0.59	0.31	161.06	167.5	C	2990	3520	0.136	0.039	0.146	0.039	0.45	4	9:59/10:00	1.04/.27	33	13
3/18/2019	DIS	-1.56	0.65	0.41	113.92	112	P	337	1160	0.24	0.11	0.102	0.038	0.5	4	10:35/10:37	.82/.33	37	13
3/18/2019	AAPL	-0.17	0.52	0.44	186.96	192.5	C	1130	4990	0.142	0.046	0.132	0.045	0.39	4	9:51/9:53	.65/.26	21	13
3/19/2019	GS	1.19	0.61	0.82	205.09	200	P	320	799	0.149	0.046	0.182	0.046	0.47	3	11:18/11:24	1.60/.34	26	12
3/19/2019	BA	-0.3	0.87	0.2	376.36	392.5	C	307	1420	0.1	0.014	0.328	0.063	0.7	3	10:36	.95/.20	39	12
3/19/2019	AAPL	0.17	0.79	0.92	188.36	185	P	3060	11400	0.214	0.067	0.196	0.055	0.61	3	10:26/10:28	1.20/.50	23	12
3/19/2019	FB	0.62	0.5	0.19	161.78	167.5	C	1070	5130	0.127	0.043	0.158	0.034	0.37	3	10:09/10:54	.57/.15	33	12
3/20/2019	TSLA	0.82	1.66	2.26	267.08	277.5	C	416	2210	0.179	0.024	0.634	0.057	1.29	2	10:09/10:10	2.75/1.10	40	14
3/20/2019	GS	-0.39	0.52	1.12	198.08	192.5	P	30	498	0.132	0.042	0.243	0.033	0.43	2	10:23	1.21/.26	32	14
3/20/2019	FB	-0.04	0.78	1.16	162.31	165	C	3490	10700	0.247	0.084	0.268	0.04	0.66	2	10:01/10:02	2.03/.45	31	14
3/20/2019	AAPL	-0.16	0.45	0.61	186.11	190	C	3000	23100	0.148	0.064	0.188	0.033	0.35	2	10:27/10:28	1.13/.20	25	14
3/25/2019	ROKU	-0.17	0.62	0.85	67	73	C	243	378	0.142	0.039	0.1556	0.016	0.48	4	11:08	1.37/.24	43	17
3/25/2019	NVDA	-0.92	0.83	0.4	173.99	160	P	269	2310	0.094	0.015	0.223	0.031	0.6	4	10:14/10:18	.93/.23	37	16
3/27/2019	NKE	0.37	0.5	0.26	83.02	82	P	608	1650	0.276	0.188	0.133	0.023	0.37	2	10:39/10:40	.62/.22	28	15
3/27/2019	MSFT	-0.02	0.49	0.8	117.39	116	P	177	4950	0.248	0.15	0.148	0.029	0.37	2	10:42/10:43	1.17/.22	19	15
3/27/2019	GS	-0.04	0.5	0.26	190.56	195	C	2110	122	0.14	0.055	0.202	0.033	0.38	2	10:20	.52/.18	35	15
3/27/2019	CRM	-0.25	0.53	0.75	156.85	152.5	P	39	1030	0.15	0.054	0.226	0.029	0.43	2	10:42/10:43	1.90/.23	23	15
3/27/2019	AAPL	1.04	0.85	1.12	188.53	185	P	9980	18700	0.208	0.064	0.288	0.046	0.65	2	11:19/11:28	1.27/.37	35	15
4/1/2019	ROKU	2.6	0.81	1.1	67.22	71	C	63	153	0.219	0.065	0.16	0.02	0.63	4	10:23/10:29	1.43/.45	42	13
